Date Submitted,Workout Date,Activity Type,Calories Burned (kcal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"Oct. 21, 2023","Oct. 21, 2023",Run,359,3.00332,1952,10.8325,1.19823,5.53891,50.0739,,5348,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7588269514
"Oct. 17, 2023","Oct. 17, 2023",Run,469,4.01526,2458,10.2027,2.09394,5.88077,28.6541,,6929,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7581503707
"Oct. 7, 2023","Oct. 7, 2023",Run,790,6.62195,4268,10.7421,0.948031,5.58553,63.2891,,11333,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7563631174
"Oct. 1, 2023","Oct. 1, 2023",Run,122,1.03,647,10.4693,2.27593,5.73107,26.3628,,1170,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7551964696
"Sept. 28, 2023","Sept. 28, 2023",Run,419,3.52478,2252,10.6484,0.474432,5.63464,126.467,,5943,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7546474102
"Sept. 26, 2023","Sept. 26, 2023",Run,290,2.5,1500,10.0,0,6.0,0,,4039,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7542634198
"Sept. 8, 2023","Sept. 8, 2023",Run,235,2.00154,1241,10.3337,1.27891,5.80624,46.915,,3132,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7507939777
"Sept. 2, 2023","Sept. 2, 2023",Run,535,4.5,3212,11.8963,0.506312,5.04359,118.504,,7371,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7495512907
"Aug. 31, 2023","Aug. 31, 2023",Run,319,2.76379,1640,9.8898,0.54093,6.06686,110.92,,4040,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7491437545
"Aug. 29, 2023","Aug. 29, 2023",Run,346,3.0,1781,9.89444,0,6.06401,0,,4801,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7487339731
"Aug. 27, 2023","Aug. 27, 2023",Run,340,3.0363,2379,13.0587,1.06595,4.59465,56.2876,,6120,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7483469848
"Aug. 19, 2023","Aug. 19, 2023",Walk,125,1.5,1877,20.8556,0,2.87693,0,,3443,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7468448161
"Aug. 16, 2023","Aug. 16, 2023",Sport / Other Activity,237,0,1200,0,0,0,0,,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/7462684924
"Aug. 15, 2023","Aug. 15, 2023",Run,362,3.04336,2172,11.8947,6.87048,5.04424,8.73301,,5789,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7459576354
"Aug. 3, 2023","Aug. 3, 2023",Run,350,3.00724,2209,12.2396,0.542495,4.90211,110.6,,5829,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7435915348
"Aug. 1, 2023","Aug. 1, 2023",Run,487,4.00475,2801,11.657,1.03419,5.14713,58.0163,,7360,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7431627049
"Aug. 2, 2023","July 31, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435069093
"July 29, 2023","July 29, 2023",Run,616,5.02,3463,11.4973,5.11753,5.2186,11.7244,,8896,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7425556366
"Aug. 2, 2023","July 28, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435068265
"July 26, 2023","July 26, 2023",Run,369,3.01125,2072,11.4681,1.29742,5.2319,46.2456,,5565,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7419911290
"Aug. 2, 2023","July 24, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435067878
"Aug. 2, 2023","July 22, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435066792
"July 21, 2023","July 21, 2023",Run,480,4.0064,2839,11.8103,1.04269,5.08032,57.5435,,7396,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7409947996
"Aug. 2, 2023","July 20, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435066414
"July 19, 2023","July 19, 2023",Run,332,3.02157,2423,13.3682,0.611921,4.48827,98.0519,0,6408,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7405830826
"Aug. 2, 2023","July 15, 2023",Hike,0,7.19998,18000,41.6667,0,1.44,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435062448
"July 11, 2023","July 11, 2023",Run,280,2.53147,2023,13.319,0.570646,4.50484,105.144,,5338,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7389675235
"Aug. 2, 2023","July 10, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435059955
"July 8, 2023","July 8, 2023",Run,803,7.01943,5313,12.615,0.43763,4.75625,137.102,,14037,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7383884005
"Aug. 2, 2023","July 7, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435059406
"Aug. 2, 2023","July 5, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435058695
"July 3, 2023","July 3, 2023",Run,600,5.00488,3545,11.8051,0.113378,5.08253,529.205,,9560,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7373655748
"Aug. 2, 2023","June 28, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435056685
"June 27, 2023","June 27, 2023",Run,487,4.02512,2693,11.1508,0.257067,5.38078,233.402,,7127,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7361968273
"Aug. 2, 2023","June 26, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435056046
"June 24, 2023","June 24, 2023",Run,569,5.00228,3818,12.7209,0.977724,4.71666,61.367,,10208,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7355985976
"Aug. 2, 2023","June 23, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435054645
"Aug. 2, 2023","June 21, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435054294
"June 20, 2023","June 20, 2023",Run,368,3.00372,2062,11.438,1.28505,5.24568,46.6906,0,5288,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7347988099
"Aug. 2, 2023","June 19, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyFitness Web,http://www.mapmyfitness.com/workout/7435053568
"Aug. 2, 2023","June 16, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7435052209
"Aug. 2, 2023","June 12, 2023",Sport / Other Activity,355,0,1800,0,0,0,0,,,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7435051357
"June 10, 2023","June 10, 2023",Run,482,4.00135,2643,11.0088,1.28385,5.45019,46.7343,,7276,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7327915297
"June 3, 2023","June 3, 2023",Run,456,4.13322,3304,13.3198,0.531055,4.50456,112.983,0,8425,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7313123347
"May 16, 2023","May 16, 2023",Run,358,3.00531,1930,10.7036,6.12098,5.60558,9.80236,0,4712,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7275556813
"April 16, 2023","April 16, 2023",Run,736,6.33442,3819,10.0483,0.4302,5.97117,139.47,,11055,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7215804067
"April 3, 2023","April 3, 2023",Run,482,4.00657,2644,10.9986,0.475903,5.45524,126.076,,7270,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7190427853
"March 27, 2023","March 27, 2023",Run,367,3.10306,1957,10.5099,1.02207,5.7089,58.7043,0,5478,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7177868953
